点位名称,SO2,NO2,PM10,CO,O31小时,O38小时,PM2.5,首要污染物,时间,日期,时间段,气温,风向编码,风力编码,降水强度,天气_多云,天气_晴,天气_阴,天气_雨,天气_雪,天气_雾霾沙尘
纺织城 ,76,39,93,,,,,1,2011/2/28,2011-02-28,0,5.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
纺织城 ,76,39,93,,,,,1,2011/2/28,2011-02-28,1,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,42,25,93,,,,,1,2011/2/27,2011-02-27,0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
纺织城 ,42,25,93,,,,,1,2011/2/27,2011-02-27,1,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
纺织城 ,87,35,137,,,,,2,2011/2/26,2011-02-26,0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
纺织城 ,87,35,137,,,,,2,2011/2/26,2011-02-26,1,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
纺织城 ,102,79,195,,,,,3,2011/2/25,2011-02-25,0,8.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
纺织城 ,102,79,195,,,,,3,2011/2/25,2011-02-25,1,3.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
纺织城 ,95,85,178,,,,,3,2011/2/24,2011-02-24,0,17.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,95,85,178,,,,,3,2011/2/24,2011-02-24,1,4.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
纺织城 ,78,57,190,,,,,3,2011/2/23,2011-02-23,0,17.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,78,57,190,,,,,3,2011/2/23,2011-02-23,1,4.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,97,52,195,,,,,3,2011/2/22,2011-02-22,0,11.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,97,52,195,,,,,3,2011/2/22,2011-02-22,1,4.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,101,75,181,,,,,3,2011/2/21,2011-02-21,0,11.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,101,75,181,,,,,3,2011/2/21,2011-02-21,1,3.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,77,59,190,,,,,3,2011/2/20,2011-02-20,0,11.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,77,59,190,,,,,3,2011/2/20,2011-02-20,1,2.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,88,47,144,,,,,2,2011/2/19,2011-02-19,0,8.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,88,47,144,,,,,2,2011/2/19,2011-02-19,1,3.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,101,47,127,,,,,2,2011/2/18,2011-02-18,0,6.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
纺织城 ,101,47,127,,,,,2,2011/2/18,2011-02-18,1,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,93,42,149,,,,,2,2011/2/17,2011-02-17,0,7.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,93,42,149,,,,,2,2011/2/17,2011-02-17,1,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,89,39,117,,,,,2,2011/2/16,2011-02-16,0,6.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,89,39,117,,,,,2,2011/2/16,2011-02-16,1,-2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,92,37,96,,,,,1,2011/2/15,2011-02-15,0,6.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,92,37,96,,,,,1,2011/2/15,2011-02-15,1,-2.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,59,24,67,,,,,1,2011/2/14,2011-02-14,0,10.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,59,24,67,,,,,1,2011/2/14,2011-02-14,1,-2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,77,29,90,,,,,1,2011/2/13,2011-02-13,0,7.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
纺织城 ,77,29,90,,,,,1,2011/2/13,2011-02-13,1,-3.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
纺织城 ,57,28,92,,,,,1,2011/2/12,2011-02-12,0,4.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
纺织城 ,57,28,92,,,,,1,2011/2/12,2011-02-12,1,-2.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,59,27,99,,,,,1,2011/2/11,2011-02-11,0,6.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,59,27,99,,,,,1,2011/2/11,2011-02-11,1,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,59,32,77,,,,,1,2011/2/10,2011-02-10,0,6.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,59,32,77,,,,,1,2011/2/10,2011-02-10,1,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,102,68,116,,,,,2,2011/2/9,2011-02-09,0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
纺织城 ,102,68,116,,,,,2,2011/2/9,2011-02-09,1,-1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
纺织城 ,55,53,98,,,,,1,2011/2/8,2011-02-08,0,9.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,55,53,98,,,,,1,2011/2/8,2011-02-08,1,0.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
纺织城 ,69,54,97,,,,,1,2011/2/7,2011-02-07,0,13.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
纺织城 ,69,54,97,,,,,1,2011/2/7,2011-02-07,1,2.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,82,50,134,,,,,2,2011/2/6,2011-02-06,0,11.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,82,50,134,,,,,2,2011/2/6,2011-02-06,1,2.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,66,40,106,,,,,2,2011/2/5,2011-02-05,0,14.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
纺织城 ,66,40,106,,,,,2,2011/2/5,2011-02-05,1,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
纺织城 ,80,52,182,,,,,3,2011/2/4,2011-02-04,0,11.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
纺织城 ,80,52,182,,,,,3,2011/2/4,2011-02-04,1,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
纺织城 ,110,64,195,,,,,3,2011/2/3,2011-02-03,0,10.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
纺织城 ,110,64,195,,,,,3,2011/2/3,2011-02-03,1,-2.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
纺织城 ,71,50,125,,,,,2,2011/2/2,2011-02-02,0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,71,50,125,,,,,2,2011/2/2,2011-02-02,1,-3.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,74,50,116,,,,,2,2011/2/1,2011-02-01,0,5.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
纺织城 ,74,50,116,,,,,2,2011/2/1,2011-02-01,1,-4.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
纺织城 ,58,37,85,,,,,1,2011/1/31,2011-01-31,0,4.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
纺织城 ,58,37,85,,,,,1,2011/1/31,2011-01-31,1,-5.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
纺织城 ,67,35,84,,,,,1,2011/1/30,2011-01-30,0,3.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
纺织城 ,67,35,84,,,,,1,2011/1/30,2011-01-30,1,-5.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,57,34,70,,,,,1,2011/1/29,2011-01-29,0,3.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
纺织城 ,57,34,70,,,,,1,2011/1/29,2011-01-29,1,-6.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
纺织城 ,96,44,96,,,,,1,2011/1/28,2011-01-28,0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,96,44,96,,,,,1,2011/1/28,2011-01-28,1,-5.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,106,50,164,,,,,3,2011/1/27,2011-01-27,0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
纺织城 ,106,50,164,,,,,3,2011/1/27,2011-01-27,1,-4.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
纺织城 ,100,42,144,,,,,2,2011/1/26,2011-01-26,0,2.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
纺织城 ,100,42,144,,,,,2,2011/1/26,2011-01-26,1,-3.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
纺织城 ,103,54,123,,,,,2,2011/1/25,2011-01-25,0,2.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,103,54,123,,,,,2,2011/1/25,2011-01-25,1,-5.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,63,46,97,,,,,1,2011/1/24,2011-01-24,0,4.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
纺织城 ,63,46,97,,,,,1,2011/1/24,2011-01-24,1,-5.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,75,74,113,,,,,2,2011/1/23,2011-01-23,0,3.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,75,74,113,,,,,2,2011/1/23,2011-01-23,1,-5.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,95,97,169,,,,,3,2011/1/22,2011-01-22,0,2.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,95,97,169,,,,,3,2011/1/22,2011-01-22,1,-5.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
纺织城 ,79,60,172,,,,,3,2011/1/21,2011-01-21,0,4.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,79,60,172,,,,,3,2011/1/21,2011-01-21,1,-4.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,98,65,163,,,,,3,2011/1/20,2011-01-20,0,2.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,98,65,163,,,,,3,2011/1/20,2011-01-20,1,-4.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,73,47,149,,,,,2,2011/1/19,2011-01-19,0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,73,47,149,,,,,2,2011/1/19,2011-01-19,1,-4.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,58,42,99,,,,,1,2011/1/18,2011-01-18,0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,58,42,99,,,,,1,2011/1/18,2011-01-18,1,-5.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,90,39,99,,,,,1,2011/1/17,2011-01-17,0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
纺织城 ,90,39,99,,,,,1,2011/1/17,2011-01-17,1,-5.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,76,58,99,,,,,1,2011/1/16,2011-01-16,0,3.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,76,58,99,,,,,1,2011/1/16,2011-01-16,1,-6.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,78,73,123,,,,,2,2011/1/15,2011-01-15,0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
纺织城 ,78,73,123,,,,,2,2011/1/15,2011-01-15,1,-6.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,98,47,174,,,,,3,2011/1/14,2011-01-14,0,3.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,98,47,174,,,,,3,2011/1/14,2011-01-14,1,-6.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
纺织城 ,69,38,110,,,,,2,2011/1/13,2011-01-13,0,2.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,69,38,110,,,,,2,2011/1/13,2011-01-13,1,-5.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,68,37,89,,,,,1,2011/1/12,2011-01-12,0,4.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,68,37,89,,,,,1,2011/1/12,2011-01-12,1,-4.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,69,37,94,,,,,1,2011/1/11,2011-01-11,0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
纺织城 ,69,37,94,,,,,1,2011/1/11,2011-01-11,1,-4.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,78,39,98,,,,,1,2011/1/10,2011-01-10,0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,78,39,98,,,,,1,2011/1/10,2011-01-10,1,-5.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
纺织城 ,69,39,105,,,,,2,2011/1/9,2011-01-09,0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,69,39,105,,,,,2,2011/1/9,2011-01-09,1,-4.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,94,43,100,,,,,1,2011/1/8,2011-01-08,0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,94,43,100,,,,,1,2011/1/8,2011-01-08,1,-6.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,86,27,99,,,,,1,2011/1/7,2011-01-07,0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,86,27,99,,,,,1,2011/1/7,2011-01-07,1,-5.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,77,34,95,,,,,1,2011/1/6,2011-01-06,0,-1.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,77,34,95,,,,,1,2011/1/6,2011-01-06,1,-6.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,70,50,111,,,,,2,2011/1/5,2011-01-05,0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
纺织城 ,70,50,111,,,,,2,2011/1/5,2011-01-05,1,-6.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,86,31,100,,,,,1,2011/1/4,2011-01-04,0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,86,31,100,,,,,1,2011/1/4,2011-01-04,1,-5.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,53,27,89,,,,,1,2011/1/3,2011-01-03,0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,53,27,89,,,,,1,2011/1/3,2011-01-03,1,-5.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
纺织城 ,70,46,95,,,,,1,2011/1/2,2011-01-02,0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
纺织城 ,70,46,95,,,,,1,2011/1/2,2011-01-02,1,-6.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
纺织城 ,69,41,99,,,,,1,2011/1/1,2011-01-01,0,,,,,,,,,,
纺织城 ,69,41,99,,,,,1,2011/1/1,2011-01-01,1,,,,,,,,,,
纺织城 ,77,40,79,,,,,1,2010/12/31,2010-12-31,0,,,,,,,,,,
纺织城 ,77,40,79,,,,,1,2010/12/31,2010-12-31,1,,,,,,,,,,
纺织城 ,53,35,72,,,,,1,2010/12/30,2010-12-30,0,,,,,,,,,,
纺织城 ,53,35,72,,,,,1,2010/12/30,2010-12-30,1,,,,,,,,,,
纺织城 ,64,49,96,,,,,1,2010/12/29,2010-12-29,0,,,,,,,,,,
纺织城 ,64,49,96,,,,,1,2010/12/29,2010-12-29,1,,,,,,,,,,
纺织城 ,57,89,68,,,,,1,2010/12/28,2010-12-28,0,,,,,,,,,,
纺织城 ,57,89,68,,,,,1,2010/12/28,2010-12-28,1,,,,,,,,,,
纺织城 ,55,82,119,,,,,2,2010/12/27,2010-12-27,0,,,,,,,,,,
纺织城 ,55,82,119,,,,,2,2010/12/27,2010-12-27,1,,,,,,,,,,
纺织城 ,45,67,69,,,,,1,2010/12/26,2010-12-26,0,,,,,,,,,,
纺织城 ,45,67,69,,,,,1,2010/12/26,2010-12-26,1,,,,,,,,,,
纺织城 ,31,40,73,,,,,1,2010/12/25,2010-12-25,0,,,,,,,,,,
纺织城 ,31,40,73,,,,,1,2010/12/25,2010-12-25,1,,,,,,,,,,
纺织城 ,74,53,97,,,,,1,2010/12/24,2010-12-24,0,,,,,,,,,,
纺织城 ,74,53,97,,,,,1,2010/12/24,2010-12-24,1,,,,,,,,,,
纺织城 ,83,113,115,,,,,2,2010/12/23,2010-12-23,0,,,,,,,,,,
纺织城 ,83,113,115,,,,,2,2010/12/23,2010-12-23,1,,,,,,,,,,
纺织城 ,67,69,92,,,,,1,2010/12/22,2010-12-22,0,,,,,,,,,,
纺织城 ,67,69,92,,,,,1,2010/12/22,2010-12-22,1,,,,,,,,,,
纺织城 ,78,84,91,,,,,1,2010/12/21,2010-12-21,0,,,,,,,,,,
纺织城 ,78,84,91,,,,,1,2010/12/21,2010-12-21,1,,,,,,,,,,
纺织城 ,75,57,87,,,,,1,2010/12/20,2010-12-20,0,,,,,,,,,,
纺织城 ,75,57,87,,,,,1,2010/12/20,2010-12-20,1,,,,,,,,,,
纺织城 ,76,65,83,,,,,1,2010/12/19,2010-12-19,0,,,,,,,,,,
纺织城 ,76,65,83,,,,,1,2010/12/19,2010-12-19,1,,,,,,,,,,
纺织城 ,89,100,115,,,,,2,2010/12/18,2010-12-18,0,,,,,,,,,,
纺织城 ,89,100,115,,,,,2,2010/12/18,2010-12-18,1,,,,,,,,,,
纺织城 ,74,53,85,,,,,1,2010/12/17,2010-12-17,0,,,,,,,,,,
纺织城 ,74,53,85,,,,,1,2010/12/17,2010-12-17,1,,,,,,,,,,
纺织城 ,56,27,55,,,,,1,2010/12/16,2010-12-16,0,,,,,,,,,,
纺织城 ,56,27,55,,,,,1,2010/12/16,2010-12-16,1,,,,,,,,,,
纺织城 ,76,29,58,,,,,1,2010/12/15,2010-12-15,0,,,,,,,,,,
纺织城 ,76,29,58,,,,,1,2010/12/15,2010-12-15,1,,,,,,,,,,
纺织城 ,49,44,93,,,,,1,2010/12/14,2010-12-14,0,,,,,,,,,,
纺织城 ,49,44,93,,,,,1,2010/12/14,2010-12-14,1,,,,,,,,,,
纺织城 ,107,107,161,,,,,3,2010/12/13,2010-12-13,0,,,,,,,,,,
纺织城 ,107,107,161,,,,,3,2010/12/13,2010-12-13,1,,,,,,,,,,
纺织城 ,57,38,122,,,,,2,2010/12/12,2010-12-12,0,,,,,,,,,,
纺织城 ,57,38,122,,,,,2,2010/12/12,2010-12-12,1,,,,,,,,,,
纺织城 ,72,83,95,,,,,1,2010/12/11,2010-12-11,0,,,,,,,,,,
纺织城 ,72,83,95,,,,,1,2010/12/11,2010-12-11,1,,,,,,,,,,
纺织城 ,87,78,115,,,,,2,2010/12/10,2010-12-10,0,,,,,,,,,,
纺织城 ,87,78,115,,,,,2,2010/12/10,2010-12-10,1,,,,,,,,,,
纺织城 ,68,50,97,,,,,1,2010/12/10,2010-12-10,0,,,,,,,,,,
纺织城 ,68,50,97,,,,,1,2010/12/10,2010-12-10,1,,,,,,,,,,
纺织城 ,67,50,76,,,,,1,2010/12/8,2010-12-08,0,,,,,,,,,,
纺织城 ,67,50,76,,,,,1,2010/12/8,2010-12-08,1,,,,,,,,,,
纺织城 ,81,55,88,,,,,1,2010/12/7,2010-12-07,0,,,,,,,,,,
纺织城 ,81,55,88,,,,,1,2010/12/7,2010-12-07,1,,,,,,,,,,
纺织城 ,72,37,100,,,,,1,2010/12/6,2010-12-06,0,,,,,,,,,,
纺织城 ,72,37,100,,,,,1,2010/12/6,2010-12-06,1,,,,,,,,,,
纺织城 ,94,103,129,,,,,2,2010/12/5,2010-12-05,0,,,,,,,,,,
纺织城 ,94,103,129,,,,,2,2010/12/5,2010-12-05,1,,,,,,,,,,
纺织城 ,53,92,121,,,,,2,2010/12/4,2010-12-04,0,,,,,,,,,,
纺织城 ,53,92,121,,,,,2,2010/12/4,2010-12-04,1,,,,,,,,,,
纺织城 ,69,58,96,,,,,1,2010/12/3,2010-12-03,0,,,,,,,,,,
纺织城 ,69,58,96,,,,,1,2010/12/3,2010-12-03,1,,,,,,,,,,
纺织城 ,76,90,94,,,,,1,2010/12/2,2010-12-02,0,,,,,,,,,,
纺织城 ,76,90,94,,,,,1,2010/12/2,2010-12-02,1,,,,,,,,,,
纺织城 ,61,50,76,,,,,1,2010/12/1,2010-12-01,0,,,,,,,,,,
纺织城 ,61,50,76,,,,,1,2010/12/1,2010-12-01,1,,,,,,,,,,
纺织城 ,67,58,80,,,,,1,2010/11/30,2010-11-30,0,,,,,,,,,,
纺织城 ,67,58,80,,,,,1,2010/11/30,2010-11-30,1,,,,,,,,,,
纺织城 ,56,50,73,,,,,1,2010/11/29,2010-11-29,0,,,,,,,,,,
纺织城 ,56,50,73,,,,,1,2010/11/29,2010-11-29,1,,,,,,,,,,
纺织城 ,74,72,98,,,,,1,2010/11/28,2010-11-28,0,,,,,,,,,,
纺织城 ,74,72,98,,,,,1,2010/11/28,2010-11-28,1,,,,,,,,,,
纺织城 ,84,90,93,,,,,1,2010/11/27,2010-11-27,0,,,,,,,,,,
纺织城 ,84,90,93,,,,,1,2010/11/27,2010-11-27,1,,,,,,,,,,
纺织城 ,82,125,140,,,,,2,2010/11/26,2010-11-26,0,,,,,,,,,,
纺织城 ,82,125,140,,,,,2,2010/11/26,2010-11-26,1,,,,,,,,,,
纺织城 ,78,120,111,,,,,2,2010/11/25,2010-11-25,0,,,,,,,,,,
纺织城 ,78,120,111,,,,,2,2010/11/25,2010-11-25,1,,,,,,,,,,
纺织城 ,91,122,124,,,,,2,2010/11/24,2010-11-24,0,,,,,,,,,,
纺织城 ,91,122,124,,,,,2,2010/11/24,2010-11-24,1,,,,,,,,,,
纺织城 ,94,80,96,,,,,1,2010/11/23,2010-11-23,0,,,,,,,,,,
纺织城 ,94,80,96,,,,,1,2010/11/23,2010-11-23,1,,,,,,,,,,
纺织城 ,60,60,88,,,,,1,2010/11/22,2010-11-22,0,,,,,,,,,,
纺织城 ,60,60,88,,,,,1,2010/11/22,2010-11-22,1,,,,,,,,,,
纺织城 ,93,83,88,,,,,1,2010/11/21,2010-11-21,0,,,,,,,,,,
纺织城 ,93,83,88,,,,,1,2010/11/21,2010-11-21,1,,,,,,,,,,
纺织城 ,77,82,113,,,,,2,2010/11/20,2010-11-20,0,,,,,,,,,,
纺织城 ,77,82,113,,,,,2,2010/11/20,2010-11-20,1,,,,,,,,,,
纺织城 ,65,75,83,,,,,1,2010/11/19,2010-11-19,0,,,,,,,,,,
纺织城 ,65,75,83,,,,,1,2010/11/19,2010-11-19,1,,,,,,,,,,
纺织城 ,75,82,148,,,,,2,2010/11/18,2010-11-18,0,,,,,,,,,,
纺织城 ,75,82,148,,,,,2,2010/11/18,2010-11-18,1,,,,,,,,,,
纺织城 ,51,40,99,,,,,1,2010/11/17,2010-11-17,0,,,,,,,,,,
纺织城 ,51,40,99,,,,,1,2010/11/17,2010-11-17,1,,,,,,,,,,
纺织城 ,76,49,86,,,,,1,2010/11/16,2010-11-16,0,,,,,,,,,,
纺织城 ,76,49,86,,,,,1,2010/11/16,2010-11-16,1,,,,,,,,,,
纺织城 ,70,31,78,,,,,1,2010/11/15,2010-11-15,0,,,,,,,,,,
纺织城 ,70,31,78,,,,,1,2010/11/15,2010-11-15,1,,,,,,,,,,
纺织城 ,62,49,85,,,,,1,2010/11/14,2010-11-14,0,,,,,,,,,,
纺织城 ,62,49,85,,,,,1,2010/11/14,2010-11-14,1,,,,,,,,,,
纺织城 ,66,39,91,,,,,1,2010/11/13,2010-11-13,0,,,,,,,,,,
纺织城 ,66,39,91,,,,,1,2010/11/13,2010-11-13,1,,,,,,,,,,
纺织城 ,52,52,80,,,,,1,2010/11/12,2010-11-12,0,,,,,,,,,,
纺织城 ,52,52,80,,,,,1,2010/11/12,2010-11-12,1,,,,,,,,,,
纺织城 ,54,41,91,,,,,1,2010/11/11,2010-11-11,0,,,,,,,,,,
纺织城 ,54,41,91,,,,,1,2010/11/11,2010-11-11,1,,,,,,,,,,
纺织城 ,45,37,84,,,,,1,2010/11/10,2010-11-10,0,,,,,,,,,,
纺织城 ,45,37,84,,,,,1,2010/11/10,2010-11-10,1,,,,,,,,,,
纺织城 ,45,42,87,,,,,1,2010/11/9,2010-11-09,0,,,,,,,,,,
纺织城 ,45,42,87,,,,,1,2010/11/9,2010-11-09,1,,,,,,,,,,
纺织城 ,46,32,91,,,,,1,2010/11/8,2010-11-08,0,,,,,,,,,,
纺织城 ,46,32,91,,,,,1,2010/11/8,2010-11-08,1,,,,,,,,,,
纺织城 ,56,41,82,,,,,1,2010/11/7,2010-11-07,0,,,,,,,,,,
纺织城 ,56,41,82,,,,,1,2010/11/7,2010-11-07,1,,,,,,,,,,
纺织城 ,60,97,105,,,,,2,2010/11/6,2010-11-06,0,,,,,,,,,,
纺织城 ,60,97,105,,,,,2,2010/11/6,2010-11-06,1,,,,,,,,,,
