日期,天气状况（白天/夜间）,气温（最高温/最低温）,风力风向（白天/夜间）
2011/10/5, 晴 /晴, 24℃ / 13℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/10/6, 晴 /晴, 25℃ / 13℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/10/7, 多云 /多云, 23℃ / 14℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/10/8, 阴 /阴, 23℃ / 16℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/10/9, 小雨 /阴, 21℃ / 16℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/10/10, 小雨 /小到中雨, 22℃ / 15℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/10/11, 小到中雨 /小雨, 18℃ / 13℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/10/12, 阴 /阴, 18℃ / 13℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/10/13, 阴 /晴, 21℃ / 11℃, 北风 3-4级 /北风 3-4级
2011/10/14, 晴 /晴, 23℃ / 9℃, 无持续风向 ≤3级 /北风 3-4级
2011/10/15, 晴 /晴, 22℃ / 10℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/10/16, 晴 /晴, 23℃ / 11℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/10/17, 晴 /多云, 24℃ / 11℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/10/18, 阴 /阴, 22℃ / 12℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/10/19, 阵雨 /阴, 20℃ / 13℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/10/20, 多云 /多云, 20℃ / 13℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/10/21, 阴 /小雨, 21℃ / 13℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/10/22, 小到中雨 /小到中雨, 17℃ / 12℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/10/23, 小雨 /多云, 16℃ / 10℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/10/24, 多云 /阴, 17℃ / 10℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/10/25, 阴 /小雨, 15℃ / 9℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/10/26, 多云 /多云, 14℃ / 10℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/10/27, 阴 /多云, 15℃ / 9℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/10/28, 多云 /晴, 17℃ / 9℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/10/29, 晴 /多云, 18℃ / 9℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/10/30, 阴 /阴, 18℃ / 10℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/10/31, 阴 /阴, 16℃ / 10℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/11/1, 小雨 /小雨, 16℃ / 11℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/11/2, 小雨 /小到中雨, 15℃ / 12℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/11/3, 小到中雨 /小雨, 16℃ / 12℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/11/4, 小雨 /小雨, 15℃ / 11℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/11/5, 阴 /小雨, 15℃ / 11℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/11/6, 小到中雨 /小到中雨, 14℃ / 11℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/11/7, 小雨 /阴, 14℃ / 8℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/11/8, 多云 /晴, 15℃ / 7℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/11/9, 晴 /晴, 17℃ / 6℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/11/10, 晴 /晴, 16℃ / 7℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/11/11, 多云 /阴, 16℃ / 8℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/11/12, 阴 /阴, 13℃ / 8℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/11/13, 多云 /多云, 15℃ / 7℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/11/14, 阴 /小雨, 14℃ / 7℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/11/15, 小雨 /小雨, 11℃ / 8℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/11/16, 小雨 /小雨, 11℃ / 9℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/11/17, 小雨 /小雨, 11℃ / 9℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/11/18, 阴 /多云, 13℃ / 5℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/11/19, 晴 /晴, 14℃ / 5℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/11/20, 多云 /多云, 14℃ / 7℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/11/21, 多云 /多云, 13℃ / 5℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/11/22, 晴 /晴, 13℃ / 3℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/11/23, 晴 /晴, 13℃ / 4℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/11/24, 多云 /多云, 11℃ / 4℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/11/25, 多云 /多云, 12℃ / 4℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/11/26, 多云 /阴, 11℃ / 7℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/11/27, 阴 /小雨, 11℃ / 6℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/11/28, 小雨 /小雨, 9℃ / 6℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/11/29, 小雨 /阴, 9℃ / 3℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/11/30, 多云 /多云, 7℃ / 1℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/12/1, 晴 /晴, 8℃ / 1℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/12/2, 晴 /晴, 8℃ / 1℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/12/3, 多云 /阴, 7℃ / 2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/12/4, 小雨 /小雨, 5℃ / 3℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/12/5, 小雨 /阴, 5℃ / 2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/12/6, 小雨 /小雨, 5℃ / 1℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/12/7, 阴 /晴, 5℃ / 1℃, 西风 ≤3级 /无持续风向 ≤3级
2011/12/8, 晴 /晴, 8℃ / -1℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/12/9, 晴 /晴, 6℃ / -3℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/12/10, 晴 /晴, 5℃ / -2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/12/11, 晴 /晴, 7℃ / -2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/12/12, 多云 /多云, 6℃ / -3℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/12/13, 晴 /多云, 7℃ / -2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/12/14, 阴 /多云, 6℃ / -1℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/12/15, 晴 /晴, 6℃ / -3℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/12/16, 多云 /阴, 5℃ / -2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/12/17, 阴 /阴, 4℃ / -2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/12/18, 多云 /多云, 5℃ / -2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/12/19, 阴 /阴, 5℃ / -1℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/12/20, 多云 /多云, 5℃ / -2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/12/21, 小雨 /多云, 4℃ / -2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/12/22, 多云 /多云, 4℃ / -3℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/12/23, 晴 /晴, 5℃ / -3℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/12/24, 晴 /晴, 7℃ / -2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/12/25, 晴 /多云, 8℃ / -2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/12/26, 阴 /阴, 6℃ / -1℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/12/27, 多云 /晴, 6℃ / -2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/12/28, 阴 /阴, 6℃ / -1℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/12/29, 多云 /多云, 5℃ / -2℃, 旋转风 微风 /无持续风向 微风
2011/12/30, 多云 /多云, 5℃ / -2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2011/12/31, 晴 /晴, 6℃ / -2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/1/1, 多云 /多云, 6℃ / -2℃, 无持续风向 ≤3级 /东风 ≤3级
2012/1/2, 阴 /晴, 4℃ / -4℃, 东风 ≤3级 /无持续风向 ≤3级
2012/1/3, 晴 /晴, 3℃ / -4℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/1/4, 多云 /多云, 3℃ / -3℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/1/5, 多云 /阴, 3℃ / -3℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/1/6, 阴 /多云, 3℃ / -4℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/1/7, 阴 /阴, 3℃ / -2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/1/8, 阴 /多云, 3℃ / -3℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/1/9, 多云 /多云, 5℃ / -3℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/1/10, 多云 /阴, 4℃ / -4℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/1/11, 阴 /多云, 4℃ / -3℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/1/12, 阴 /阴, 5℃ / -2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/1/13, 阴 /阴, 4℃ / -2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/1/14, 多云 /阴, 4℃ / -1℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/1/15, 阴 /多云, 6℃ / -2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/1/16, 阴 /阴, 5℃ / -1℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/1/17, 阴 /阴, 4℃ / -1℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/1/18, 小雪 /小雪, 3℃ / -2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/1/19, 小雪 /小雪, 1℃ / -1℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/1/20, 小到中雪 /小到中雪, 3℃ / -1℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/1/21, 小到中雪 /小雪, 1℃ / -4℃, 无持续风向 ≤3级 /东风 ≤3级
2012/1/22, 多云 /多云, 1℃ / -6℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/1/23, 多云 /晴, 0℃ / -7℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/1/24, 晴 /晴, -1℃ / -7℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/1/25, 晴 /多云, 2℃ / -6℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/1/26, 多云 /多云, 3℃ / -5℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/1/27, 阴 /阴, 3℃ / -4℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/1/28, 阴 /多云, 3℃ / -2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/1/29, 阴 /多云, 4℃ / -2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/1/30, 晴 /晴, 7℃ / -2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/1/31, 晴 /多云, 8℃ / -2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/1, 多云 /阴, 5℃ / -3℃, 无持续风向 ≤3级 /东北风 ≤3级
2012/2/1, 多云 /阴, 5℃ / -3℃, 无持续风向 ≤3级 /东北风 ≤3级
2012/2/2, 阴 /多云, 4℃ / -3℃, 东北风 ≤3级 /无持续风向 ≤3级
2012/2/2, 阴 /多云, 4℃ / -3℃, 东北风 ≤3级 /无持续风向 ≤3级
2012/2/3, 多云 /多云, 7℃ / -2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/3, 多云 /多云, 7℃ / -2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/4, 晴 /晴, 7℃ / -2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/4, 晴 /晴, 7℃ / -2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/5, 多云 /阴, 8℃ / -4℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/5, 多云 /阴, 8℃ / -4℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/6, 多云 /晴, 4℃ / -6℃, 北风 3-4级 /北风 3-4级
2012/2/6, 多云 /晴, 4℃ / -6℃, 北风 3-4级 /北风 3-4级
2012/2/7, 晴 /晴, 2℃ / -7℃, 北风 3-4级 /无持续风向 ≤3级
2012/2/7, 晴 /晴, 2℃ / -7℃, 北风 3-4级 /无持续风向 ≤3级
2012/2/8, 晴 /多云, 4℃ / -4℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/8, 晴 /多云, 4℃ / -4℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/9, 阴 /多云, 3℃ / -3℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/9, 阴 /多云, 3℃ / -3℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/10, 多云 /多云, 4℃ / -3℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/10, 多云 /多云, 4℃ / -3℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/11, 阴 /阴, 6℃ / -2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/11, 阴 /阴, 6℃ / -2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/12, 阴 /多云, 5℃ / -1℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/12, 阴 /多云, 5℃ / -1℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/13, 多云 /阴, 8℃ / 0℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/13, 多云 /阴, 8℃ / 0℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/14, 阴 /雨夹雪, 7℃ / 1℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/14, 阴 /雨夹雪, 7℃ / 1℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/15, 雨夹雪 /阴, 6℃ / 0℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/15, 雨夹雪 /阴, 6℃ / 0℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/16, 多云 /多云, 5℃ / -2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/16, 多云 /多云, 5℃ / -2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/17, 多云 /晴, 5℃ / -2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/17, 多云 /晴, 5℃ / -2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/18, 晴 /晴, 6℃ / -1℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/18, 晴 /晴, 6℃ / -1℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/19, 多云 /多云, 10℃ / 0℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/19, 多云 /多云, 10℃ / 0℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/20, 多云 /多云, 10℃ / 0℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/20, 多云 /多云, 10℃ / 0℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/21, 多云 /多云, 12℃ / 2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/21, 多云 /多云, 12℃ / 2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/22, 多云 /阴, 8℃ / 3℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/22, 多云 /阴, 8℃ / 3℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/23, 阴 /阴, 8℃ / 1℃, 无持续风向 ≤3级 /东风 3-4级
2012/2/23, 阴 /阴, 8℃ / 1℃, 无持续风向 ≤3级 /东风 3-4级
2012/2/24, 阴 /阴, 7℃ / 2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/24, 阴 /阴, 7℃ / 2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/25, 阴 /阴, 8℃ / 1℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/25, 阴 /阴, 8℃ / 1℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/26, 阴 /阴, 7℃ / 1℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/26, 阴 /阴, 7℃ / 1℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/27, 阴 /阴, 7℃ / 0℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/27, 阴 /阴, 7℃ / 0℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/28, 阴 /阴, 9℃ / 1℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/28, 阴 /阴, 9℃ / 1℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/29, 小雨 /阴, 7℃ / 2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/2/29, 小雨 /阴, 7℃ / 2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/3/1, 阴 /阴, 7℃ / 1℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/3/2, 小雨 /阴, 5℃ / 2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/3/3, 小雨 /阴, 7℃ / 1℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/3/4, 阴 /阴, 10℃ / 1℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/3/5, 阴 /多云, 8℃ / 2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/3/6, 阴 /阴, 9℃ / 2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/3/7, 阴 /阴, 9℃ / 3℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/3/8, 小雨 /阴, 8℃ / 2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/3/9, 阴 /多云, 10℃ / 2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/3/10, 多云 /晴, 12℃ / 2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/3/11, 多云 /多云, 11℃ / 4℃, 无持续风向 ≤3级 /东风 3-4级
2012/3/12, 晴 /晴, 15℃ / 3℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/3/13, 多云 /多云, 14℃ / 3℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/3/14, 阴 /小雨, 14℃ / 5℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/3/15, 小雨 /阴, 12℃ / 5℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/3/16, 多云 /多云, 16℃ / 7℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/3/17, 多云 /多云, 20℃ / 7℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/3/18, 阴 /小雨, 18℃ / 7℃, 无持续风向 ≤3级 /东北风 3-4级
2012/3/19, 多云 /多云, 15℃ / 3℃, 东北风 ≤3级 /无持续风向 ≤3级
2012/3/20, 阴 /阴, 13℃ / 4℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/3/21, 阴 /小雨, 9℃ / 2℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/3/22, 多云 /多云, 12℃ / 2℃, 无持续风向 ≤3级 /北风 3-4级
2012/3/23, 多云 /晴, 13℃ / 4℃, 北风 3-4级 /无持续风向 ≤3级
2012/3/24, 晴 /晴, 19℃ / 4℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/3/25, 晴 /晴, 21℃ / 6℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/3/26, 晴 /晴, 23℃ / 7℃, 旋转风 微风 /无持续风向 微风
2012/3/27, 多云 /阴, 23℃ / 10℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/3/28, 小雨 /小雨, 17℃ / 7℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/3/29, 多云 /多云, 15℃ / 6℃, 西风 ≤3级 /北风 3-4级
2012/3/30, 晴 /晴, 16℃ / 5℃, 北风 3-4级 /北风 3-4级
2012/3/31, 晴 /晴, 22℃ / 8℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/4/1, 晴 /阴, 25℃ / 9℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/4/2, 多云 /晴, 18℃ / 7℃, 北风 3-4级 /无持续风向 ≤3级
2012/4/3, 晴 /晴, 21℃ / 10℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/4/4, 晴 /晴, 24℃ / 11℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/4/5, 晴 /晴, 24℃ / 10℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/4/6, 晴 /多云, 22℃ / 11℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/4/7, 多云 /多云, 23℃ / 12℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/4/8, 阴 /阴, 24℃ / 14℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/4/9, 小雨 /多云, 22℃ / 14℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/4/10, 多云 /多云, 26℃ / 14℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/4/11, 阴 /小到中雨, 24℃ / 13℃, 无持续风向 ≤3级 /西风 4-5级
2012/4/12, 多云 /多云, 18℃ / 4℃, 西风 4-5级 /西北风 3-4级
2012/4/13, 多云 /多云, 21℃ / 10℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/4/14, 晴 /晴, 24℃ / 11℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/4/15, 晴 /晴, 25℃ / 12℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/4/16, 多云 /多云, 25℃ / 13℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/4/17, 阴 /阵雨, 22℃ / 14℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/4/18, 多云 /多云, 25℃ / 13℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/4/19, 多云 /阵雨, 25℃ / 14℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/4/20, 多云 /多云, 23℃ / 13℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/4/21, 晴 /多云, 28℃ / 15℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/4/22, 多云 /多云, 30℃ / 16℃, 旋转风 微风 /无持续风向 微风
2012/4/23, 阵雨 /中雨, 27℃ / 12℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/4/24, 阴 /多云, 22℃ / 11℃, 西北风 3-4级 /西北风 3-4级
2012/4/25, 晴 /晴, 23℃ / 11℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/4/26, 晴 /多云, 27℃ / 13℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/4/27, 多云 /多云, 29℃ / 16℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/4/28, 多云 /多云, 30℃ / 17℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/4/29, 阴 /多云, 28℃ / 17℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/4/30, 阵雨 /阵雨, 27℃ / 16℃, 无持续风向 ≤3级 /东风 3-4级
2012/5/1, 小雨 /阴, 21℃ / 15℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/5/2, 阴 /阴, 24℃ / 16℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/5/3, 阵雨 /阵雨, 21℃ / 16℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/5/4, 阴 /阴, 25℃ / 17℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/5/5, 多云 /多云, 30℃ / 19℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/5/6, 阴 /阵雨, 29℃ / 19℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/5/7, 阵雨 /阴, 27℃ / 18℃, 旋转风 微风 /无持续风向 微风
2012/5/8, 多云 /多云, 29℃ / 19℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/5/9, 多云 /多云, 30℃ / 20℃, 无持续风向 ≤3级 /东南风 ≤3级
2012/5/10, 多云 /阴, 30℃ / 20℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/5/11, 小到中雨 /阴, 24℃ / 16℃, 无持续风向 ≤3级 /西北风 3-4级
2012/5/12, 多云 /多云, 24℃ / 14℃, 西北风 3-4级 /无持续风向 ≤3级
2012/5/13, 小雨 /阴, 24℃ / 14℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/5/14, 多云 /晴, 28℃ / 16℃, 无持续风向 ≤3级 /东北风 ≤3级
2012/5/15, 晴 /晴, 31℃ / 17℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/5/16, 晴 /多云, 31℃ / 18℃, 北风 ≤3级 /无持续风向 ≤3级
2012/5/17, 多云 /多云, 31℃ / 17℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/5/18, 阴 /多云, 29℃ / 18℃, 无持续风向 ≤3级 /北风 ≤3级
2012/5/19, 晴 /晴, 33℃ / 20℃, 东北风 ≤3级 /无持续风向 ≤3级
2012/5/20, 多云 /阴, 32℃ / 22℃, 北风 ≤3级 /无持续风向 ≤3级
2012/5/21, 小雨 /小雨, 28℃ / 15℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/5/22, 小雨 /阴, 23℃ / 14℃, 西北风 ≤3级 /无持续风向 ≤3级
2012/5/23, 阴 /阴, 25℃ / 15℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/5/24, 阴 /阴, 25℃ / 16℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/5/25, 多云 /多云, 29℃ / 16℃, 无持续风向 ≤3级 /北风 ≤3级
2012/5/26, 多云 /晴, 31℃ / 17℃, 东北风 ≤3级 /无持续风向 ≤3级
2012/5/27, 多云 /多云, 32℃ / 18℃, 东北风 ≤3级 /无持续风向 ≤3级
2012/5/28, 小到中雨 /中雨, 25℃ / 16℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/5/29, 多云 /晴, 27℃ / 15℃, 无持续风向 ≤3级 /西北风 ≤3级
2012/5/30, 多云 /多云, 31℃ / 19℃, 无持续风向 ≤3级 /无持续风向 ≤3级
2012/5/31, 阴 /阴, 28℃ / 19℃, 无持续风向 ≤3级 /无持续风向 ≤3级
